"lsoa01","access01","access11","access01_exp","access11_exp"
"E01000116",1897469,2240328,7162.3029659965,8614.55605923475
"E01000117",1905377,2254571,7257.50981187393,8309.2514391373
"E01000118",2027159,2400740,7370.71443754593,8732.58324305612
"E01000119",2062256,2458216,7979.71251797641,10095.8629612505
"E01000120",1985413,2349843,7588.32007094868,9420.0821473088
"E01000121",2122203,2534192,7677.95691235875,9384.14921133278
"E01000122",2152235,2573501.02,8035.16135739038,10229.727168875
"E01000123",2213181,2638468.8,8763.5332372561,11158.2306974142
"E01000124",2272127,2740513,8814.47146057041,11203.9034418291
"E01000125",1714663,2021002,9937.72440469238,12139.8886166447
"E01000126",2192692,2585131,9993.69257267595,12132.9284888664
"E01000127",1772152,2094408,9048.29497708745,11127.2447059643
"E01000128",2143380,2531106,10001.6974664647,12104.3552578486
"E01000129",1852576,2196927,10204.9414265323,12364.585444899
"E01000130",2128908,2517489,9232.4142704179,11290.7314065255
"E01000131",2210288,2604489,10843.6978075315,12856.4944851751
"E01000132",1714080,2023989,8310.66724629939,10285.8093209882
"E01000133",2107914,2495304,8375.26190247765,10290.594190796
"E01000134",1658844,1950708,9079.48730125547,11187.1438392888
"E01000135",2648596,3202955,11656.9501489866,14279.3001744338
"E01000136",2671026,3231847,11381.6918100087,13989.9689182029
"E01000137",2658777,3218296,12242.5724755814,15045.1635287381
"E01000138",2648090,3203756,12214.0038926155,15076.7963276327
"E01000139",2671361,3234028,13311.557360186,16309.0861154193
"E01000140",2675498,3240817,12830.260239482,15690.8283847277
"E01000141",2652037,3205206,13387.7328021136,16516.5261273778
"E01000142",2649236,3203678,12601.4072870977,15630.9865843094
"E01000143",2670405,3230625,13552.7595789079,16714.4460765514
"E01000144",2624502,3174137,10770.1670649505,13442.8041201354
"E01000145",2599255,3123935,11091.337413646,13959.4847662149
"E01000146",2642005,3195826,11246.1949403558,13874.7831211817
