"TTWA11NM","lsoa01","weight"
"Bradford","E01010642",1
"Bradford","E01010643",1
"Bradford","E01010644",1
"Bradford","E01010645",1
"Bradford","E01010649",1
"Bradford","E01010650",1
"Bradford","E01010651",1
"Bradford","E01010652",1
"Bradford","E01010653",1
"Bradford","E01010654",1
"Bradford","E01010655",1
"Bradford","E01010656",1
"Bradford","E01010657",1
"Bradford","E01010658",1
"Bradford","E01010659",1
"Bradford","E01010660",1
"Bradford","E01010661",1
"Bradford","E01010662",1
"Bradford","E01010663",1
"Bradford","E01010664",1
"Bradford","E01010665",1
"Bradford","E01010666",1
"Bradford","E01010667",1
"Bradford","E01010668",1
"Bradford","E01010669",1
"Bradford","E01010670",1
"Bradford","E01010671",1
"Bradford","E01010672",1
"Bradford","E01010673",1
"Bradford","E01010674",1
"Bradford","E01010675",1
"Bradford","E01010676",1
"Bradford","E01010677",1
"Bradford","E01010678",1
"Bradford","E01010679",1
"Bradford","E01010680",1
"Bradford","E01010681",1
"Bradford","E01010682",1
"Bradford","E01010683",1
"Bradford","E01010684",1
"Bradford","E01010685",1
"Bradford","E01010686",1
"Bradford","E01010687",1
"Bradford","E01010688",1
"Bradford","E01010689",1
"Bradford","E01010690",1
"Bradford","E01010700",1
"Bradford","E01010701",1
"Bradford","E01010702",1
"Bradford","E01010703",1
"Bradford","E01010704",1
"Bradford","E01010705",1
"Bradford","E01010706",1
"Bradford","E01010707",1
"Bradford","E01010708",1
"Bradford","E01010709",1
"Bradford","E01010710",1
"Bradford","E01010711",1
"Bradford","E01010712",1
"Bradford","E01010713",1
"Bradford","E01010714",1
"Bradford","E01010715",1
"Bradford","E01010716",1
"Bradford","E01010717",1
"Bradford","E01010718",1
"Bradford","E01010719",1
"Bradford","E01010720",1
"Bradford","E01010721",1
"Bradford","E01010722",1
"Bradford","E01010723",1
"Bradford","E01010724",1
"Bradford","E01010725",1
"Bradford","E01010726",1
"Bradford","E01010727",1
"Bradford","E01010728",1
"Bradford","E01010729",1
"Bradford","E01010730",1
"Bradford","E01010731",1
"Bradford","E01010732",1
"Bradford","E01010733",1
"Bradford","E01010734",1
"Bradford","E01010735",1
"Bradford","E01010736",1
"Bradford","E01010737",1
"Bradford","E01010738",1
"Bradford","E01010739",1
"Bradford","E01010740",1
"Bradford","E01010741",1
"Bradford","E01010742",1
"Bradford","E01010743",1
"Bradford","E01010744",1
"Bradford","E01010745",1
"Bradford","E01010746",1
"Bradford","E01010747",1
"Bradford","E01010748",1
"Bradford","E01010749",1
"Bradford","E01010750",1
"Bradford","E01010751",1
"Bradford","E01010752",1
"Bradford","E01010753",1
"Bradford","E01010754",1
"Bradford","E01010755",1
"Bradford","E01010756",1
"Bradford","E01010757",1
"Bradford","E01010758",1
"Bradford","E01010759",1
"Bradford","E01010760",1
"Bradford","E01010761",1
"Bradford","E01010762",1
"Bradford","E01010763",1
"Bradford","E01010764",1
"Bradford","E01010765",1
"Bradford","E01010766",1
"Bradford","E01010775",1
"Bradford","E01010776",1
"Bradford","E01010777",1
"Bradford","E01010778",1
"Bradford","E01010779",1
"Bradford","E01010780",1
"Bradford","E01010781",1
"Bradford","E01010782",1
"Bradford","E01010783",1
"Bradford","E01010784",1
"Bradford","E01010785",1
"Bradford","E01010786",1
"Bradford","E01010787",1
"Bradford","E01010788",1
"Bradford","E01010789",1
"Bradford","E01010790",1
"Bradford","E01010791",1
"Bradford","E01010792",1
"Bradford","E01010793",1
"Bradford","E01010794",1
"Bradford","E01010795",1
"Bradford","E01010796",1
"Bradford","E01010797",1
"Bradford","E01010798",1
"Bradford","E01010799",1
"Bradford","E01010800",1
"Bradford","E01010801",1
"Bradford","E01010802",1
"Bradford","E01010803",1
"Bradford","E01010804",1
"Bradford","E01010805",1
"Bradford","E01010806",1
"Bradford","E01010807",1
"Bradford","E01010808",1
"Bradford","E01010809",1
"Bradford","E01010810",1
"Bradford","E01010811",1
"Bradford","E01010812",1
"Bradford","E01010813",1
"Bradford","E01010814",1
"Bradford","E01010815",1
"Bradford","E01010816",1
"Bradford","E01010817",1
"Bradford","E01010818",1
"Bradford","E01010819",1
"Bradford","E01010820",1
"Bradford","E01010821",1
"Bradford","E01010822",1
"Bradford","E01010823",1
"Bradford","E01010824",1
"Bradford","E01010825",1
"Bradford","E01010826",1
"Bradford","E01010827",1
"Bradford","E01010828",1
"Bradford","E01010829",1
"Bradford","E01010830",1
"Bradford","E01010831",1
"Bradford","E01010832",1
"Bradford","E01010833",1
"Bradford","E01010834",1
"Bradford","E01010835",1
"Bradford","E01010836",1
"Bradford","E01010837",1
"Bradford","E01010838",1
"Bradford","E01010839",1
"Bradford","E01010840",1
"Bradford","E01010841",1
"Bradford","E01010842",1
"Bradford","E01010843",1
"Bradford","E01010844",1
"Bradford","E01010845",1
"Bradford","E01010846",1
"Bradford","E01010847",1
"Bradford","E01010848",1
"Bradford","E01010849",1
"Bradford","E01010850",1
"Bradford","E01010851",1
"Bradford","E01010852",1
"Bradford","E01010853",1
"Bradford","E01010854",1
"Bradford","E01010855",1
"Bradford","E01010856",1
"Bradford","E01010857",1
"Bradford","E01010858",1
"Bradford","E01010859",1
"Bradford","E01010860",1
"Bradford","E01010861",1
"Bradford","E01010862",1
