"fua","total.pop","n.bua","rci01","rci11","rcidiff","rci01_main","rci11_main","rcidiff_main","work01","work01_exp","work11","work11_exp","workdiff","workdiff_exp","geo04","geo10","geodiff","type"
"Northampton",450457,4,0.135889496687625,0.10803813128534,-0.0278513654022845,0.15547919214103,0.126219129706357,-0.0292600624346733,0.137180589248814,0.261532755827531,0.118159781948478,0.215496764540347,-0.0190208073003362,-0.0460359912871837,0.254171926450411,0.21015152217764,-0.0440204042727714,"inc"
"Brighton and Hove",432053,3,0.167577821920432,0.065274343120663,-0.102303478799769,0.172571317655482,0.0669013704524133,-0.105669947203069,0.0195847527705837,0.16491049721516,-0.0086179697129154,0.0577063721668907,-0.0282027224834991,-0.10720412504827,0.116318865021825,0.044208477025748,-0.0721103879960765,"inc"
"Plymouth",391205,3,0.20454027360708,0.161744253286258,-0.0427960203208215,0.203739237648293,0.161265940981806,-0.0424732966664862,0.0293025094586596,0.214811155397541,0.0218922917686655,0.169929612093739,-0.00741021768999417,-0.0448815433038021,0.200195597722185,0.18237270441081,-0.0178228933113758,"inc"
"Norwich",381170,2,0.199084813684109,0.178673947025857,-0.0204108666582528,0.199098015356668,0.17853047951489,-0.0205675358417778,0.119849241025307,0.211821895977963,0.142200369969473,0.19772892749954,0.022351128944166,-0.0140929684784226,0.189222706029767,0.184778159524441,-0.00444454650532577,"inc"
"Swansea",378958.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Cambridge",356440,3,0.032505941793147,-0.0209988525804903,-0.0535047943736373,0.0333498604127698,-0.0204584097365057,-0.0538082701492755,-0.046402688687877,0.0788464001437461,-0.0682507556192462,0.0227068103045553,-0.0218480669313692,-0.0561395898391908,0.0990844605596237,0.0355847563979523,-0.0634997041616714,"inc"
"Ipswich",345422,3,0.142188607788967,0.125524820094938,-0.0166637876940285,0.141662502680063,0.123680027615848,-0.0179824750642155,0.0782744403044688,0.205430999280665,0.0683597167129051,0.186965253984255,-0.00991472359156376,-0.0184657452964103,0.213189847096302,0.171932897095289,-0.0412569500010136,"inc"
"Blackpool",325571,4,0.232341000508214,0.279068267106069,0.0467272665978555,0.241794463296216,0.289010956112676,0.0472164928164602,-0.0734844763816938,0.262046779030484,-0.0845865354705211,0.300249731677837,-0.0111020590888273,0.0382029526473531,0.263908509004693,0.243259455084456,-0.0206490539202377,"inc"
"Colchester",311122,2,-0.0909638612795476,-0.123393651612744,-0.0324297903331967,-0.0851079498313965,-0.115024064384812,-0.0299161145534157,-0.191200235440085,0.0876083945168489,-0.223286416739512,0.0496603474237816,-0.0320861812994266,-0.0379480470930673,0.124707013161171,0.132062249110277,0.00735523594910603,"inc"
"Reading",310078,3,0.248953919516197,0.215248408919095,-0.0337055105971018,0.243974292871826,0.211554556482668,-0.0324197363891585,-0.21035258596681,0.274165026446951,-0.215929835519304,0.231235020281048,-0.00557724955249483,-0.0429300061659035,0.215478294522526,0.195799675837222,-0.0196786186853046,"inc"
"Lincoln",290557,3,0.123954501594724,0.0548006898813185,-0.0691538117134058,0.136180270760271,0.0686755301267468,-0.0675047406335239,0.0235508382966074,0.194039777646282,-0.00289098043742797,0.151721759220244,-0.0264418187340354,-0.0423180184260374,0.224692933013429,0.186165890540529,-0.0385270424729001,"inc"
"Blackburn with Darwen",285355,4,0.286223138010996,0.237658726013308,-0.0485644119976882,0.287697945486642,0.239530287066771,-0.0481676584198709,0.087784758589919,0.400014576784187,0.0762965221495335,0.340738034454873,-0.0114882364403854,-0.0592765423293145,0.340303997858925,0.314713030540446,-0.0255909673184789,"inc"
"Guildford",258755,6,0.0642820966897091,0.0706345031157554,0.00635240642604629,0.028556323712273,0.0252551383325823,-0.00330118537969071,0.039725781777264,0.0965147150027406,0.0541755416747449,0.098117593720481,0.0144497598974809,0.00160287871774045,0.126304669960653,0.114899810232195,-0.011404859728458,"inc"
"Preston",249259,3,0.160500012122789,0.111278812674357,-0.0492211994484322,0.206435855792535,0.145511388587757,-0.060924467204778,0.164634009699128,0.220892595431572,0.119480131520483,0.162533958226369,-0.0451538781786454,-0.0583586372052025,0.319500049651914,0.221679511419332,-0.0978205382325825,"inc"
"Newport",236811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Cheltenham",197675,2,0.0710134333382229,0.0421237536009684,-0.0288896797372544,0.0595415421061816,0.0322345461712956,-0.0273069959348859,0.093054292681451,0.087359344146563,0.0793145622372649,0.0739153892433393,-0.0137397304441862,-0.0134439549032237,0.22410733532476,0.199862588051047,-0.0242447472737126,"inc"
"Hastings",180842,2,0.242997964072224,0.217543472658789,-0.0254544914134343,0.243927542012337,0.218940146084265,-0.024987395928072,-0.113952492705209,0.252209180338987,-0.067532815374733,0.211380089372497,0.0464196773304764,-0.0408290909664899,0.310321861550761,0.283750074627072,-0.0265717869236894,"inc"
"Burnley",176511,1,0.119635763668896,0.148303057427093,0.0286672937581969,0.119635763668896,0.148303057427093,0.0286672937581969,0.0632820136408654,0.227653867553393,0.0943443608126842,0.246560053910223,0.0310623471718188,0.0189061863568298,0.223917197031192,0.224534529093631,0.000617332062439857,"inc"
"Worcester",173399,3,0.109243043741976,0.0823846563488999,-0.0268583873930766,0.109378695612811,0.0826625096132574,-0.0267161859995539,0.0771793598120567,0.167866140079113,0.0601964042044258,0.140257750955719,-0.0169829556076309,-0.0276083891233938,0.248722457254502,0.277695433231237,0.0289729759767354,"inc"
