"","lsoa01cd","fua"
"290","E01003290","London"
"291","E01003291","London"
"292","E01003292","London"
"293","E01003293","London"
"294","E01003294","London"
"295","E01003295","London"
"296","E01003296","London"
"297","E01003297","London"
"298","E01003298","London"
"299","E01003299","London"
"300","E01003300","London"
"301","E01003301","London"
"302","E01003302","London"
"303","E01003303","London"
"304","E01003304","London"
"305","E01003305","London"
"306","E01003306","London"
"307","E01003307","London"
"308","E01003308","London"
"309","E01003309","London"
"310","E01003310","London"
"311","E01003311","London"
"312","E01003312","London"
"313","E01003313","London"
"314","E01003314","London"
"315","E01003315","London"
"316","E01003316","London"
"317","E01003317","London"
"318","E01003318","London"
"319","E01003319","London"
"320","E01003320","London"
"321","E01003321","London"
"322","E01003322","London"
"323","E01003323","London"
"324","E01003324","London"
"325","E01003325","London"
"326","E01003326","London"
"327","E01003327","London"
"328","E01003328","London"
"329","E01003329","London"
"330","E01003330","London"
"331","E01003331","London"
"332","E01003332","London"
"333","E01003333","London"
"334","E01003334","London"
"335","E01003335","London"
"336","E01003336","London"
"337","E01003337","London"
"338","E01003338","London"
"339","E01003339","London"
"340","E01003340","London"
"341","E01003341","London"
"342","E01003342","London"
"343","E01003343","London"
"344","E01003344","London"
"345","E01003345","London"
"346","E01003346","London"
"347","E01003347","London"
"348","E01003348","London"
"349","E01003349","London"
"350","E01003350","London"
"351","E01003351","London"
"352","E01003352","London"
"353","E01003353","London"
"354","E01003354","London"
"355","E01003355","London"
"356","E01003356","London"
"357","E01003357","London"
"358","E01003358","London"
"359","E01003359","London"
"360","E01003360","London"
"361","E01003361","London"
"362","E01003362","London"
"363","E01003363","London"
"364","E01003364","London"
"365","E01003365","London"
"366","E01003366","London"
"367","E01003367","London"
"368","E01003368","London"
"369","E01003369","London"
"370","E01003370","London"
"371","E01003371","London"
"372","E01003372","London"
"373","E01003373","London"
"374","E01003374","London"
"375","E01003375","London"
"376","E01003376","London"
"377","E01003377","London"
"378","E01003378","London"
"379","E01003379","London"
"380","E01003380","London"
"381","E01003381","London"
"382","E01003382","London"
"383","E01003383","London"
"384","E01003384","London"
"385","E01003385","London"
"386","E01003386","London"
"387","E01003387","London"
"388","E01003388","London"
"389","E01003389","London"
"390","E01003390","London"
"391","E01003391","London"
"392","E01003392","London"
"393","E01003393","London"
"394","E01003394","London"
"395","E01003395","London"
"396","E01003396","London"
"397","E01003397","London"
"398","E01003398","London"
"399","E01003399","London"
"400","E01003400","London"
"401","E01003401","London"
"402","E01003402","London"
"403","E01003403","London"
"404","E01003404","London"
"405","E01003405","London"
"406","E01003406","London"
"407","E01003407","London"
"408","E01003408","London"
"409","E01003409","London"
"410","E01003410","London"
"411","E01003411","London"
"412","E01003412","London"
"413","E01003413","London"
"414","E01003414","London"
"415","E01003415","London"
"416","E01003416","London"
"417","E01003417","London"
"418","E01003418","London"
"419","E01003419","London"
"420","E01003420","London"
"421","E01003421","London"
"422","E01003422","London"
"423","E01003423","London"
"424","E01003424","London"
"425","E01003425","London"
"426","E01003426","London"
"427","E01003427","London"
"428","E01003428","London"
"429","E01003429","London"
"430","E01003430","London"
"431","E01003431","London"
"432","E01003432","London"
"433","E01003433","London"
"434","E01003434","London"
"435","E01003435","London"
"436","E01003436","London"
"437","E01003437","London"
"438","E01003438","London"
"439","E01003439","London"
"440","E01003440","London"
"441","E01003441","London"
"442","E01003442","London"
"443","E01003443","London"
"444","E01003444","London"
"445","E01003445","London"
"446","E01003446","London"
"447","E01003447","London"
"448","E01003448","London"
"449","E01003449","London"
"450","E01003450","London"
"451","E01003451","London"
"452","E01003452","London"
"453","E01003453","London"
"454","E01003454","London"
"455","E01003455","London"
"456","E01003456","London"
"457","E01003457","London"
"458","E01003458","London"
"459","E01003459","London"
"460","E01003460","London"
"461","E01003461","London"
"462","E01003462","London"
"463","E01003463","London"
"464","E01003464","London"
"465","E01003465","London"
"466","E01003466","London"
"467","E01003467","London"
"468","E01003468","London"
"469","E01003469","London"
"470","E01003470","London"
"471","E01003471","London"
"472","E01003472","London"
"473","E01003473","London"
"474","E01003474","London"
"475","E01003475","London"
"476","E01003476","London"
"477","E01003477","London"
"478","E01003478","London"
"479","E01003479","London"
"480","E01003480","London"
"481","E01003481","London"
"482","E01003482","London"
"483","E01003483","London"
"484","E01003484","London"
"485","E01003485","London"
"486","E01003486","London"
"487","E01003487","London"
"488","E01003488","London"
"489","E01003489","London"
"490","E01003490","London"
"491","E01003491","London"
"492","E01003492","London"
"493","E01003493","London"
"494","E01003494","London"
"495","E01003495","London"
"496","E01003496","London"
"497","E01003497","London"
"498","E01003498","London"
"499","E01003499","London"
"500","E01003500","London"
"501","E01003501","London"
"502","E01003502","London"
"503","E01003503","London"
"504","E01003504","London"
"505","E01003505","London"
"506","E01003506","London"
"507","E01003507","London"
"508","E01003508","London"
"509","E01003509","London"
"510","E01003510","London"
"511","E01003511","London"
"512","E01003512","London"
"513","E01003513","London"
"514","E01003514","London"
"515","E01003515","London"
"516","E01003516","London"
"517","E01003517","London"
"518","E01003518","London"
"519","E01003519","London"
"520","E01003520","London"
"521","E01003521","London"
"522","E01003522","London"
"523","E01003523","London"
"524","E01003524","London"
"525","E01003525","London"
"526","E01003526","London"
"527","E01003527","London"
"528","E01003528","London"
"529","E01003529","London"
"530","E01003530","London"
"531","E01003531","London"
"532","E01003532","London"
"533","E01003533","London"
"534","E01003534","London"
"535","E01003535","London"
"536","E01003536","London"
"537","E01003537","London"
"538","E01003538","London"
"539","E01003539","London"
"540","E01003540","London"
"541","E01003541","London"
"542","E01003542","London"
"543","E01003543","London"
"544","E01003544","London"
"545","E01003545","London"
"546","E01003546","London"
"547","E01003547","London"
"548","E01003548","London"
"549","E01003549","London"
"550","E01003550","London"
"551","E01003551","London"
"552","E01003552","London"
"553","E01003553","London"
"554","E01003554","London"
"555","E01003555","London"
"556","E01003556","London"
"557","E01003557","London"
"558","E01003558","London"
"559","E01003559","London"
"560","E01003560","London"
"561","E01003561","London"
"562","E01003562","London"
"563","E01003563","London"
"564","E01003564","London"
"565","E01003565","London"
"566","E01003566","London"
"567","E01003567","London"
"568","E01003568","London"
"569","E01003569","London"
"570","E01003570","London"
"571","E01003571","London"
"572","E01003572","London"
"573","E01003573","London"
"574","E01003574","London"
"575","E01003575","London"
"576","E01003576","London"
"577","E01003577","London"
"578","E01003578","London"
"579","E01003579","London"
"580","E01003580","London"
"581","E01003581","London"
"582","E01003582","London"
"583","E01003583","London"
"584","E01003584","London"
"585","E01003585","London"
"586","E01003586","London"
"587","E01003587","London"
"588","E01003588","London"
"589","E01003589","London"
"590","E01003590","London"
"591","E01003591","London"
"592","E01003592","London"
"593","E01003593","London"
"594","E01003594","London"
"595","E01003595","London"
"596","E01003596","London"
"597","E01003597","London"
"598","E01003598","London"
"599","E01003599","London"
"600","E01003600","London"
"601","E01003601","London"
"602","E01003602","London"
"603","E01003603","London"
"604","E01003604","London"
"605","E01003605","London"
"606","E01003606","London"
"607","E01003607","London"
"608","E01003608","London"
"609","E01003609","London"
"610","E01003610","London"
"611","E01003611","London"
"612","E01003612","London"
"613","E01003613","London"
"614","E01003614","London"
"615","E01003615","London"
"616","E01003616","London"
"617","E01003617","London"
"618","E01003618","London"
"619","E01003619","London"
"620","E01003620","London"
"621","E01003621","London"
"622","E01003622","London"
"623","E01003623","London"
"624","E01003624","London"
"625","E01003625","London"
"626","E01003626","London"
"627","E01003627","London"
"628","E01003628","London"
"629","E01003629","London"
"630","E01003630","London"
"631","E01003631","London"
"632","E01003632","London"
"633","E01003633","London"
"634","E01003634","London"
"635","E01003635","London"
"636","E01003636","London"
"637","E01003637","London"
"638","E01003638","London"
"639","E01003639","London"
"640","E01003640","London"
"641","E01003641","London"
"642","E01003642","London"
"643","E01003643","London"
"644","E01003644","London"
"645","E01003645","London"
"646","E01003646","London"
"647","E01003647","London"
"648","E01003648","London"
"649","E01003649","London"
"650","E01003650","London"
"651","E01003651","London"
"652","E01003652","London"
"653","E01003653","London"
"654","E01003654","London"
"655","E01003655","London"
"656","E01003656","London"
"657","E01003657","London"
"658","E01003658","London"
"659","E01003659","London"
"660","E01003660","London"
"661","E01003661","London"
"662","E01003662","London"
"663","E01003663","London"
"664","E01003664","London"
"665","E01003665","London"
"666","E01003666","London"
"667","E01003667","London"
"668","E01003668","London"
"669","E01003669","London"
"670","E01003670","London"
"671","E01003671","London"
"672","E01003672","London"
"673","E01003673","London"
"674","E01003674","London"
"675","E01003675","London"
"676","E01003676","London"
"677","E01003677","London"
"678","E01003678","London"
"679","E01003679","London"
"680","E01003680","London"
"681","E01003681","London"
"682","E01003682","London"
"683","E01003683","London"
"684","E01003684","London"
"685","E01003685","London"
"686","E01003686","London"
"687","E01003687","London"
"688","E01003688","London"
"689","E01003689","London"
"690","E01003690","London"
"691","E01003691","London"
"692","E01003692","London"
"693","E01003693","London"
"694","E01003694","London"
"695","E01003695","London"
"696","E01003696","London"
"697","E01003697","London"
"698","E01003698","London"
"699","E01003699","London"
"700","E01003700","London"
"701","E01003701","London"
"702","E01003702","London"
"703","E01003703","London"
"704","E01003704","London"
"705","E01003705","London"
"706","E01003706","London"
"707","E01003707","London"
"708","E01003708","London"
"709","E01003709","London"
"710","E01003710","London"
"711","E01003711","London"
"712","E01003712","London"
"713","E01003713","London"
"714","E01003714","London"
