"","name","pweight_x","pweight_y","pop11","number_lsoa","type","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osmnm","imputed_osmm"
"952","Middlesbrough BUASD",451173.198455458,517670.149670246,173399,110,"buasd",449587.91205048,520361.449650782,"town",3123.4962095448,NA,"Middlesbrough"
"953","Middlestown BUASD",426378.033193046,417061.740899796,3040,2,"buasd",426378.033193046,417061.740899796,"Origin",NA,NA,"Abertillery"
"954","Middleton (Rochdale) BUASD",387142.720088784,406111.378341352,43316,29,"buasd",387026.859088875,405778.228445586,"town",352.721737845628,NA,"Middleton"
"955","Midhurst BUASD",488295.679235705,121076.89265446,5880,3,"buasd",488541.245467129,121435.312546088,"town",434.473926410242,NA,"Midhurst"
"956","Midsomer Norton BUASD",366317.735250653,154202.28038718,12415,8,"buasd",366403.802603458,154149.784649221,"townhall",100.81364849469,NA,NA
"957","Mildenhall BUASD",570858.211619453,275702.880243481,10986,7,"buasd",571259.292175301,274919.00985157,"town",880.521665602087,NA,"Mildenhall"
"958","Millhouse Green BUASD",422391.234116975,403271.040560949,1554,1,"buasd",422391.234116975,403271.040560949,"Origin",NA,NA,"Abertillery"
"959","Milnrow BUASD",392674.217578636,412720.583740547,10357,7,"buasd",392822.764094682,412416.115718352,"town",338.772554922244,NA,"Milnrow"
"960","Milton Keynes BUASD",484907.542317015,238407.075812647,159730,97,"buasd",485214.150167919,239013.528924584,"town",679.554082625682,NA,"Milton Keynes"
"961","Minchinhampton BUASD",387071.503779737,200883.203262431,4357,3,"buasd",387071.503779737,200883.203262431,"Origin",NA,NA,"Abertillery"
"962","Minster (Swale) BUASD",594578.42027605,172788.864459111,17676,12,"buasd",594953.56092877,173154.833881714,"town",524.084084478375,NA,"Minster"
"963","Minster (Thanet) BUASD",630821.778175756,164752.409261247,3007,2,"buasd",630821.778175756,164752.409261247,"Origin",NA,NA,"Abertillery"
"964","Mirfield BUASD",420119.505509716,420507.970731332,19563,12,"buasd",420273.027005857,419681.519571721,"town",840.589298646886,NA,"Mirfield"
"965","Monkton Heathfield BUASD",325553.419419921,126849.382341211,2787,2,"buasd",325553.419419921,126849.382341211,"Origin",NA,NA,"Abertillery"
"966","Moore BUASD",357417.164935192,384255.691121713,1115,1,"buasd",357417.164935192,384255.691121713,"Origin",NA,NA,"Abertillery"
"967","Moorends BUASD",469669.278749135,415533.008454145,4608,3,"buasd",469669.278749135,415533.008454145,"Origin",NA,NA,"Abertillery"
"968","Morecambe BUASD",344201.42110927,463888.331516789,33930,23,"buasd",342848.302680042,463933.652476277,"town",1353.87720007546,NA,"Morecambe"
"969","Morgan's Vale BUASD",419721.525260845,120841.22464496,1361,1,"buasd",419953.46736598,121035.590101332,"townhall",302.613731950523,NA,NA
"970","Morley BUASD",426610.042309172,428013.315016202,29622,19,"buasd",426553.836803041,427596.458383798,"town",420.628709076003,NA,"Morley"
"971","Morton (North East Derbyshire) BUASD",440650.786568082,360352.109757834,1720,1,"buasd",440650.786568082,360352.109757834,"Origin",NA,NA,"Abertillery"
"972","Mossley BUASD",397592.89473464,402409.262745536,10921,7,"buasd",397721.475053223,401820.3353829,"town",602.800412066944,NA,"Mossley"
"973","Mountsorrel BUASD",458025.773413192,314243.937604399,10138,6,"buasd",458025.773413192,314243.937604399,"Origin",NA,NA,"Abertillery"
"974","Mundford BUASD",580175.326767161,293931.657932609,2078,1,"buasd",580175.326767161,293931.657932609,"Origin",NA,NA,"Abertillery"
"975","Mynydd Marian BUASD",289756.491731003,377505.599626062,1406,1,"buasd",289756.491731003,377505.599626062,"Origin",NA,NA,"Abertillery"
"976","Nailsea BUASD",347269.679643283,170466.918207996,17241,12,"buasd",347060.367734001,170688.742070616,"town",304.987379074567,NA,"Nailsea"
"977","Nailsworth BUASD",384335.829676674,199914.161478233,4991,3,"buasd",384990.341997338,199632.659533714,"town",712.481384085867,NA,"Nailsworth"
"978","Nant-y-moel BUASD",293623.343184675,192568.503511539,2344,2,"buasd",293623.343184675,192568.503511539,"Origin",NA,NA,"Abertillery"
"979","Nantyglo BUASD",319303.502498566,210292.643591008,4635,3,"buasd",319209.776233399,210739.257892684,"town",456.343014895183,NA,"Nantyglo"
"980","Narborough/Enderby BUASD",453644.81618076,298356.897920714,12996,8,"buasd",453644.81618076,298356.897920714,"Origin",NA,NA,"Abertillery"
"981","Neath BUASD",274740.563119762,197253.181652514,52034,35,"buasd",275330.054076502,197548.048649673,"town",659.125279511598,NA,"Neath"
"982","Nelson (Caerphilly) BUASD",311096.616476395,195494.917260627,4647,3,"buasd",310993.622123962,195403.807511307,"townhall",137.509356242668,NA,"Nelson Community Centre"
"983","Nelson (Pendle) BUASD",386437.130960047,437776.621221603,29135,17,"buasd",386169.46293221,437808.453235697,"town",269.554169411853,NA,"Nelson"
"984","Netherne On-The-Hill BUASD",529377.732377677,156396.290585917,2698,1,"buasd",529710.633803089,156191.580383825,"townhall",390.806379018951,NA,NA
"985","Netherton BUASD",412739.640370984,413033.040393261,3002,2,"buasd",412739.640370984,413033.040393261,"Origin",NA,NA,"Abertillery"
"986","Nettlestone BUASD",462765.74268666,90680.327472439,1147,1,"buasd",462765.74268666,90680.327472439,"Origin",NA,NA,"Abertillery"
"987","New Arley BUASD",429119.189042015,289890.694236674,1471,1,"buasd",429119.189042015,289890.694236674,"Origin",NA,NA,"Abertillery"
"988","New Hartley BUASD",430654.443471118,576713.84356847,1841,1,"buasd",430654.443471118,576713.84356847,"Origin",NA,NA,"Abertillery"
"989","New Houghton BUASD",449966.720068435,365005.211024532,2305,1,"buasd",449966.720068435,365005.211024532,"Origin",NA,NA,"Abertillery"
"990","New Longton BUASD",350942.695220932,425440.281050614,2737,2,"buasd",350942.695220932,425440.281050614,"Origin",NA,NA,"Abertillery"
"991","New Mills BUASD",399386.329807398,385269.608006323,12612,9,"buasd",400012.251789775,385395.828471909,"town",638.521678531657,NA,"New Mills"
"992","New Milton BUASD",424941.994364342,95309.23475776,20245,13,"buasd",424420.37477378,94890.0447456605,"town",669.18402812804,NA,"New Milton"
"993","Newark-on-Trent BUASD",480640.955551642,353067.056172426,36055,23,"buasd",479810.30185531,354101.504876307,"town",1326.67617910043,NA,"Newark on Trent"
"994","Newbridge BUASD",321210.171320126,197806.505842991,9045,6,"buasd",320959.266660437,196908.258296171,"town",932.631654846796,NA,"Newbridge"
"995","Newburgh BUASD",347779.860571917,410369.127209643,1970,1,"buasd",347779.860571917,410369.127209643,"Origin",NA,NA,"Abertillery"
"996","Newburn BUASD",416921.271548137,565896.750033029,3123,2,"buasd",416921.271548137,565896.750033029,"Origin",NA,NA,"Abertillery"
"997","Newbury BUASD",447185.710573685,166685.960146059,37576,23,"buasd",447146.171730804,167214.137578373,"town",529.655284220366,NA,"Newbury"
"998","Newcastle-under-Lyme BUASD",384297.386822932,346978.606205978,73922,48,"buasd",384446.503312885,345749.379218108,"town",1238.23855346334,NA,"Newcastle-under-Lyme"
"999","Newcastle upon Tyne BUASD",423716.494300266,566217.357265701,265325,165,"buasd",424791.464896263,564788.350821003,"city",1788.1893639227,NA,"Newcastle upon Tyne"
"1000","Newham BUASD",541237.665222508,183534.779026451,307984,164,"buasd",542656.407746831,183563.675975032,"town",1419.03678034109,NA,"Stratford"
"1001","Newhey BUASD",393788.537374546,411571.531052362,2887,2,"buasd",393788.537374546,411571.531052362,"Origin",NA,NA,"Abertillery"
"1002","Newick BUASD",541581.295207555,121217.587916316,2457,2,"buasd",541581.295207555,121217.587916316,"Origin",NA,NA,"Abertillery"
"1003","Newlyn BUASD",146264.683040286,28376.3508510103,1603,1,"buasd",146264.683040286,28376.3508510103,"Origin",NA,NA,"Abertillery"
"1004","Newport BUASD",331169.760179385,188305.786428013,127370,82,"buasd",330990.230343016,188180.490923355,"city",218.92904246344,NA,"Newport"
"1005","Newport Pagnell BUASD",486993.458995598,243598.753564392,15118,10,"buasd",487545.277142553,243883.093864119,"town",620.767809537514,NA,"Newport Pagnell"
"1006","Newton-le-Willows BUASD",358078.856313514,395391.824141569,22033,14,"buasd",357643.609060649,395531.234661248,"town",457.028953266067,NA,"Newton-le-Willows"
"1007","Newton Abbot BUASD",286166.084386611,71086.9996538886,25687,18,"buasd",285898.620530156,71225.1700134884,"town",301.044785342013,NA,"Newton Abbot"
"1008","Normanton BUASD",438587.648756674,422786.293664242,20520,13,"buasd",438427.78895953,422676.954252309,"town",193.675661209682,NA,"Normanton"
"1009","North Ascot BUASD",491566.369074826,169513.238851535,10000,6,"buasd",492735.6224246,168742.071865388,"town",1400.66124258547,NA,"Ascot"
"1010","North Benfleet BUASD",575637.573666247,189286.481735479,1598,1,"buasd",575637.573666247,189286.481735479,"Origin",NA,NA,"Abertillery"
"1011","North Bradley BUASD",385588.931887276,155226.690049806,1424,1,"buasd",385562.642457377,155107.943608384,"townhall",121.621755762371,NA,NA
"1012","North Ferriby BUASD",498665.897627203,426194.547781418,4745,3,"buasd",498665.897627203,426194.547781418,"Origin",NA,NA,"Abertillery"
"1013","North Hykeham BUASD",494119.975758042,366279.046970313,15179,11,"buasd",494119.975758042,366279.046970313,"Origin",NA,NA,"Abertillery"
"1014","North Walney BUASD",318089.066164745,468942.115424399,9369,6,"buasd",318089.066164745,468942.115424399,"Origin",NA,NA,"Abertillery"
"1015","North Wingfield BUASD",441829.069842572,365414.658536986,9458,6,"buasd",441829.069842572,365414.658536986,"Origin",NA,NA,"Abertillery"
"1016","Northam BUASD",244608.371284676,129251.330152213,8848,5,"buasd",244906.598312777,129082.870606574,"town",342.517121918091,NA,"Northam"
"1017","Northampton BUASD",476289.726498835,261747.052765347,212407,133,"buasd",475041.347355682,260604.312157942,"town",1692.42624089541,NA,"Northampton"
"1018","Northfleet BUASD",563157.335850102,173127.682842602,26037,16,"buasd",562477.53771098,174178.315580595,"town",1251.38110106251,NA,"Northfleet"
"1019","Northop Hall BUASD",327152.984407415,367774.688680582,1530,1,"buasd",327152.984407415,367774.688680582,"Origin",NA,NA,"Abertillery"
"1020","Northwich BUASD",365488.909060906,372826.682645255,44638,28,"buasd",365775.463688189,373818.285889877,"town",1032.17757637032,NA,"Northwich"
"1021","Northwood BUASD",509236.571476207,192642.494959788,5532,3,"buasd",509236.571476207,192642.494959788,"Origin",NA,NA,"Abertillery"
"1022","Norton-on-Derwent BUASD",479655.895571442,471140.361290425,7387,4,"buasd",479567.709885263,471262.88959563,"town",150.963243285728,NA,"Norton-on-Derwent"
"1023","Norton BUASD",386823.663063177,251696.861778591,1506,1,"buasd",386823.663063177,251696.861778591,"Origin",NA,NA,"Abertillery"
"1024","Norton Fitzwarren BUASD",319538.16404799,126077.601488457,3046,2,"buasd",319538.16404799,126077.601488457,"Origin",NA,NA,"Abertillery"
"1025","Norton sub Hamdon BUASD",347077.054748281,116308.306136082,1249,1,"buasd",347077.054748281,116308.306136082,"Origin",NA,NA,"Abertillery"
"1026","Norwich BUASD",622417.687172511,309568.574633695,183455,115,"buasd",622908.159375679,308516.586564845,"city",1160.70749074946,NA,"Norwich"
"1027","Nottingham BUASD",455538.204478295,341907.012720557,288350,170,"buasd",457252.083226832,339898.32876915,"city",2640.49078417748,NA,"Nottingham"
"1028","Nuneaton BUASD",435371.802486627,291702.815599013,81556,53,"buasd",436161.144523476,291992.965204858,"town",840.980169152917,NA,"Nuneaton"
"1029","Oaklands BUASD",523731.810154337,218050.468991269,6959,5,"buasd",523731.810154337,218050.468991269,"Origin",NA,NA,"Abertillery"
"1030","Odiham BUASD",473895.698230917,151062.238064303,1686,1,"buasd",474093.288449132,151015.464192772,"town",203.050952699477,NA,"Odiham"
"1031","Offenham BUASD",405529.458261733,245971.430276936,1513,1,"buasd",405529.458261733,245971.430276936,"Origin",NA,NA,"Abertillery"
"1032","Ogmore Vale BUASD",293223.10723084,190444.052864187,3117,2,"buasd",293223.10723084,190444.052864187,"Origin",NA,NA,"Abertillery"
"1033","Oldbury (Sandwell) BUASD",399297.781006126,288288.311796576,24127,14,"buasd",398984.383688249,289556.679498645,"town",1306.51234456652,NA,"Oldbury"
"1034","Oldham BUASD",393033.070366662,404550.941901508,96486,57,"buasd",392490.837368852,404999.043623856,"town",703.428587338688,NA,"Oldham"
"1035","Ossett BUASD",428027.980783022,420485.898043322,21854,15,"buasd",428065.985728717,420259.687507432,"town",229.380867652637,NA,"Ossett"
"1036","Oswaldtwistle BUASD",373799.740538854,427519.882852191,10784,7,"buasd",373812.319170558,427229.039018444,"town",291.11571170934,NA,"Oswaldtwistle"
"1037","Otley BUASD",419926.338187305,445752.611464111,13668,9,"buasd",420209.132691744,445526.419448293,"town",362.126441676157,NA,"Otley"
"1038","Otterbourne BUASD",446384.08675815,123729.503966974,2126,1,"buasd",445684.209140072,122986.12611649,"townhall",1020.99917182984,NA,NA
"1039","Ottershaw BUASD",502344.302288885,163716.493088968,4096,3,"buasd",502344.302288885,163716.493088968,"Origin",NA,NA,"Abertillery"
"1040","Oughtibridge BUASD",430969.343000877,392993.481516755,3443,2,"buasd",430969.343000877,392993.481516755,"Origin",NA,NA,"Abertillery"
"1041","Ouston BUASD",425635.428019702,554634.413020448,4324,3,"buasd",425635.428019702,554634.413020448,"Origin",NA,NA,"Abertillery"
"1042","Over Stratton BUASD",343332.366342456,115924.196888772,1448,1,"buasd",343332.366342456,115924.196888772,"Origin",NA,NA,"Abertillery"
