"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Basingstoke",219251,0.19,0.186,-0.004,0.059,0.041,-0.018,0.254,0.209,-0.044,"inc"
"Kettering and Wellingborough",218147.92,0.161,0.146,-0.015,0.088,0.052,-0.035,0.181,0.131,-0.05,"inc"
"Chichester and Bognor Regis",216092,0.143,0.137,-0.007,0.052,0.045,-0.007,0.183,0.187,0.004,"inc"
"Merthyr Tydfil",210158.6762,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Bedford",204833,0.28,0.237,-0.042,0.137,0.072,-0.066,0.18,0.147,-0.033,"inc"
"Chesterfield",204462,0.099,0.076,-0.023,0.007,-0.015,-0.023,0.159,0.12,-0.039,"inc"
"Telford",196228,0.2,0.198,-0.002,-0.044,-0.062,-0.018,0.181,0.176,-0.005,"inc"
"Colchester",195871,0.151,0.144,-0.007,-0.095,-0.055,0.04,0.172,0.162,-0.01,"inc"
"Halifax",187314,0.176,0.167,-0.009,0.029,0.038,0.009,0.232,0.222,-0.01,"inc"
"Poole",186216,0.098,0.11,0.012,0.073,0.086,0.013,0.189,0.149,-0.041,"inc"
"Canterbury",177508,0.05,0.027,-0.023,-0.031,-0.054,-0.023,0.137,0.128,-0.009,"inc"
"Grimsby",171201,0.282,0.291,0.01,0.16,0.12,-0.04,0.284,0.27,-0.015,"inc"
"Burton upon Trent",168222,0.205,0.181,-0.024,-0.024,-0.048,-0.024,0.251,0.209,-0.041,"inc"
"Margate and Ramsgate",167179,0.225,0.238,0.013,0.078,0.064,-0.014,0.164,0.158,-0.006,"inc"
"Cheltenham",164522,0.094,0.053,-0.041,-0.018,-0.061,-0.043,0.237,0.204,-0.033,"inc"
"Worthing",164311,0.125,0.09,-0.034,0.158,0.124,-0.034,0.148,0.127,-0.02,"inc"
"Yeovil",163192,0.061,0.041,-0.021,-0.011,-0.04,-0.029,0.217,0.205,-0.012,"inc"
"Burnley",161418,0.12,0.148,0.029,0.155,0.142,-0.012,0.224,0.225,0.001,"inc"
"Llanelli",160383,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inc"
"Hastings",159956,0.231,0.202,-0.029,0.116,0.068,-0.048,0.3,0.273,-0.027,"inc"
"Blyth and Ashington",157994,0.15,0.2,0.05,-0.02,-0.024,-0.003,0.197,0.22,0.023,"inc"
"Scunthorpe",155563,0.218,0.189,-0.028,0.052,0.014,-0.038,0.262,0.224,-0.038,"inc"
"Bath",154275,0.059,-0.025,-0.083,-0.092,-0.13,-0.038,0.192,0.124,-0.067,"inc"
