"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Poole",186216,0.099,0.126,0.027,0.087,0.06,-0.027,0.121,0.132,0.011,"jsa"
"Canterbury",177508,0.112,0.092,-0.02,0.055,0.016,-0.039,0.158,0.157,-0.001,"jsa"
"Grimsby",171201,0.261,0.311,0.049,0.17,0.147,-0.023,0.271,0.281,0.01,"jsa"
"Burton upon Trent",168222,0.209,0.208,-0.001,0.031,-0.042,-0.073,0.212,0.225,0.014,"jsa"
"Margate and Ramsgate",167179,0.313,0.305,-0.008,0.164,0.117,-0.047,0.242,0.187,-0.055,"jsa"
"Cheltenham",164522,0.165,0.117,-0.047,0.072,0.012,-0.06,0.245,0.252,0.007,"jsa"
"Worthing",164311,0.109,0.148,0.04,0.126,0.131,0.005,0.127,0.16,0.032,"jsa"
"Yeovil",163192,0.056,0.098,0.042,0.064,0.003,-0.061,0.182,0.189,0.008,"jsa"
"Burnley",161418,0.036,0.158,0.122,0.133,0.11,-0.023,0.17,0.204,0.033,"jsa"
"Llanelli",160383,0.122,0.181,0.059,-0.001,-0.015,-0.014,NA,NA,NA,"jsa"
"Hastings",159956,0.278,0.285,0.007,0.226,0.121,-0.105,0.306,0.312,0.006,"jsa"
"Blyth and Ashington",157994,0.122,0.195,0.073,-0.025,-0.019,0.006,0.169,0.216,0.047,"jsa"
"Scunthorpe",155563,0.204,0.243,0.039,0.081,0.051,-0.03,0.226,0.271,0.045,"jsa"
"Bath",154275,0.177,0.071,-0.106,0.05,-0.07,-0.12,0.185,0.159,-0.026,"jsa"
"Huntingdon",153173,0.076,0.099,0.022,0.041,0.013,-0.028,0.097,0.164,0.067,"jsa"
"Bridgend",148140,0.009,-0.047,-0.056,-0.05,-0.101,-0.051,NA,NA,NA,"jsa"
"Folkestone and Dover",147515,0.275,0.252,-0.023,0.154,0.147,-0.008,0.247,0.214,-0.034,"jsa"
"Hereford",145859,0.107,0.116,0.009,-0.048,-0.054,-0.006,0.122,0.203,0.08,"jsa"
"Stafford",145175,0.192,0.173,-0.02,0.022,-0.038,-0.06,0.182,0.233,0.051,"jsa"
"Harrogate",143662,0.103,0.155,0.052,0.09,0.039,-0.051,0.167,0.245,0.079,"jsa"
"King's Lynn",142647,0.139,0.184,0.046,0.099,0.121,0.022,0.111,0.156,0.044,"jsa"
"Shrewsbury",142641,0.008,0.038,0.03,-0.024,-0.05,-0.026,0.138,0.195,0.057,"jsa"
"Torquay and Paignton",142164,0.195,0.23,0.036,0.184,0.195,0.011,0.168,0.167,-0.001,"jsa"
"Weston-super-Mare",141360,0.284,0.337,0.053,0.152,0.072,-0.08,0.196,0.255,0.059,"jsa"
"Wrexham",134583,0.108,0.081,-0.027,-0.011,-0.055,-0.044,NA,NA,NA,"jsa"
"Salisbury",130755,0.101,0.139,0.038,0.001,-0.037,-0.039,0.112,0.166,0.054,"jsa"
"Rhyl",129948,0.181,0.233,0.052,0.079,0.1,0.021,NA,NA,NA,"jsa"
"Lancaster and Morecambe",126894,0.297,0.292,-0.005,0.041,-0.001,-0.043,0.274,0.253,-0.02,"jsa"
"Isle of Wight",126784,0.111,0.184,0.072,0.073,0.074,0,0.205,0.237,0.032,"jsa"
"Bury St Edmunds",125806,0.129,0.185,0.057,0.03,-0.031,-0.06,0.129,0.156,0.027,"jsa"
"Bangor and Holyhead",121130,0.019,0.085,0.067,0.018,-0.006,-0.024,NA,NA,NA,"jsa"
"St Austell and Newquay",120239,0.155,0.19,0.036,0.083,0.047,-0.037,0.136,0.191,0.054,"jsa"
"Newbury",116846,0.049,0.145,0.095,0.048,0.017,-0.031,0.031,0.153,0.122,"jsa"
"Redruth and Truro",116786,0.072,0.13,0.058,0.063,0.068,0.005,0.089,0.152,0.063,"jsa"
"Lowestoft",115099,0.295,0.344,0.048,0.173,0.15,-0.024,0.266,0.255,-0.011,"jsa"
"Dorchester and Weymouth",112322,0.241,0.229,-0.012,0.019,-0.019,-0.038,0.177,0.164,-0.013,"jsa"
"Taunton",110872,0.135,0.187,0.053,0.125,0.11,-0.015,0.209,0.243,0.034,"jsa"
"Ashford",107894,0.187,0.238,0.05,0.002,0.025,0.023,0.173,0.202,0.029,"jsa"
"Worksop and Retford",107735,0.13,0.117,-0.012,0.034,-0.017,-0.051,0.206,0.234,0.028,"jsa"
"Darlington",105244,0.211,0.254,0.043,0.04,0.035,-0.005,0.169,0.19,0.021,"jsa"
"Thetford and Mildenhall",104493,0.161,0.155,-0.005,0.044,-0.002,-0.046,0.185,0.179,-0.006,"jsa"
"Clacton",104135,0.065,0.162,0.097,0.144,0.087,-0.057,0.162,0.15,-0.011,"jsa"
"Banbury",102977,0.177,0.283,0.106,0.025,0.039,0.014,0.143,0.233,0.09,"jsa"
"Northallerton",101361,0.101,0.123,0.022,-0.041,-0.104,-0.063,0.12,0.164,0.044,"jsa"
"Great Yarmouth",93548,0.309,0.319,0.01,0.247,0.238,-0.009,0.29,0.298,0.008,"jsa"
"Skegness and Louth",92204,0.157,0.171,0.014,0.168,0.113,-0.055,0.141,0.217,0.076,"jsa"
"Bridgwater",90027,0.228,0.247,0.019,0.143,0.083,-0.06,0.266,0.264,-0.002,"jsa"
"Hartlepool",88967,0.149,0.182,0.033,0.106,0.088,-0.018,0.109,0.24,0.131,"jsa"
"Barnstaple",86185,0.111,0.164,0.052,0.043,0.022,-0.021,0.214,0.255,0.041,"jsa"
"Cinderford and Ross-on-Wye",85741,0.02,0.106,0.086,0.078,0.027,-0.052,0.141,0.188,0.047,"jsa"
"Colwyn Bay",85514,0.104,0.172,0.069,0.133,0.107,-0.027,NA,NA,NA,"jsa"
"Barrow-in-Furness",85349,0.285,0.302,0.017,0.129,0.13,0,0.226,0.19,-0.036,"jsa"
"Spalding",81949,0.003,0.038,0.034,0.014,0.04,0.026,-0.017,0.054,0.071,"jsa"
"Wisbech",78579,0.125,0.106,-0.019,0.025,0.038,0.012,0.128,0.115,-0.014,"jsa"
"Evesham",78216,0.119,0.235,0.117,0.082,0.027,-0.056,0.116,0.183,0.066,"jsa"
"Scarborough",76733,0.257,0.279,0.022,0.218,0.208,-0.01,0.305,0.314,0.009,"jsa"
"Andover",74874,0.087,0.16,0.073,-0.063,-0.062,0.002,0.144,0.195,0.051,"jsa"
"Boston",74283,0.167,0.17,0.002,-0.038,0.002,0.04,0.114,0.164,0.05,"jsa"
"Kendal",73464,0.162,0.293,0.131,0.047,0.049,0.001,0.109,0.216,0.106,"jsa"
"Workington",72240,0.154,0.227,0.073,0.063,0.026,-0.037,0.161,0.202,0.04,"jsa"
"Grantham",70943,0.162,0.259,0.097,0.082,0.008,-0.074,0.18,0.26,0.081,"jsa"
"Blandford Forum and Gillingham",69885,0.065,0.117,0.051,0.032,0.085,0.053,0.116,0.169,0.053,"jsa"
"Haverfordwest and Milford Haven",69417,0.201,0.256,0.055,-0.017,-0.054,-0.037,NA,NA,NA,"jsa"
"Street and Wells",66096,0.007,0.175,0.169,0.049,-0.005,-0.054,0.199,0.235,0.035,"jsa"
"Falmouth",64774,0.094,0.121,0.026,0.013,-0.05,-0.064,0.159,0.17,0.011,"jsa"
"Whitehaven",64282,0.127,0.074,-0.052,-0.082,-0.108,-0.026,0.181,0.181,0,"jsa"
"Corby",57735,0.175,0.18,0.005,-0.107,-0.142,-0.035,0.049,0.128,0.079,"jsa"
"Aberystwyth",54464,-0.03,-0.031,-0.001,0.065,-0.015,-0.08,NA,NA,NA,"jsa"
"Oswestry",53908,0.134,0.236,0.102,0.045,0.011,-0.034,0.177,0.295,0.118,"jsa"
"Ludlow",52699,0.06,0.176,0.115,0.008,0.024,0.016,0.056,0.189,0.134,"jsa"
"Skipton",51281,0.118,0.221,0.103,0.031,0.011,-0.021,0.177,0.237,0.06,"jsa"
"Penzance",50464,0.165,0.251,0.086,0.058,0.013,-0.046,0.152,0.156,0.004,"jsa"
"Liskeard",47992,-0.093,-0.079,0.014,0.146,0.144,-0.002,0.124,0.145,0.022,"jsa"
"Bideford",47819,0.152,0.232,0.08,0.075,0.096,0.021,0.21,0.275,0.066,"jsa"
"Cromer and Sheringham",47736,0.016,-0.076,-0.091,0.031,-0.054,-0.085,0.037,0.118,0.082,"jsa"
"Newtown and Welshpool",47360,0.031,0.179,0.149,0.081,0.106,0.025,NA,NA,NA,"jsa"
"Sidmouth",44973,-0.08,-0.057,0.024,0.013,-0.001,-0.014,-0.027,-0.028,-0.001,"jsa"
"Malton",44714,0.028,-0.008,-0.035,0.024,0.043,0.018,0.101,0.235,0.134,"jsa"
"Penrith",44391,0.084,0.203,0.119,0.161,0.136,-0.025,0.139,0.257,0.117,"jsa"
"Bridlington",41070,0.241,0.297,0.056,0.179,0.203,0.023,0.247,0.249,0.002,"jsa"
"Buxton",39326,0.174,0.229,0.055,0.046,-0.107,-0.153,0.166,0.185,0.019,"jsa"
"Hexham",38624,-0.024,-0.003,0.021,0.056,-0.004,-0.06,0.053,0.158,0.106,"jsa"
"Pembroke and Tenby",36318,0.21,0.265,0.055,0.083,0.137,0.054,NA,NA,NA,"jsa"
"Cardigan",32340,-0.038,-0.054,-0.016,0.109,0.133,0.024,NA,NA,NA,"jsa"
"Pwllheli and Porthmadog",31481,0.241,0.17,-0.071,0.045,0,-0.045,NA,NA,NA,"jsa"
"Kingsbridge and Dartmouth",30352,0.146,0.117,-0.029,-0.021,0,0.021,0.052,0.085,0.033,"jsa"
"Wadebridge",29685,-0.046,0.016,0.061,0.087,0.09,0.003,-0.12,0.019,0.139,"jsa"
"Minehead",28074,0.041,0.02,-0.021,0.134,-0.006,-0.14,0.045,0.127,0.082,"jsa"
"Bude",27533,-0.061,-0.022,0.039,-0.014,0.023,0.037,0.095,0.113,0.017,"jsa"
"Llandrindod Wells and Builth Wells",26771,-0.05,0.053,0.104,0.202,0.13,-0.072,NA,NA,NA,"jsa"
"Bridport",26618,0.078,0.166,0.088,-0.022,-0.1,-0.078,0.114,0.232,0.118,"jsa"
"Brecon",25591.3238,0.054,0.048,-0.006,0.016,-0.092,-0.108,NA,NA,NA,"jsa"
"Launceston",24452,0.028,0.079,0.051,-0.001,-0.038,-0.037,0.09,0.241,0.151,"jsa"
"Tywyn and Dolgellau",23921,0.084,0.05,-0.034,0.085,0.086,0.001,NA,NA,NA,"jsa"
"Whitby",22901,0.234,0.278,0.044,0.135,0.039,-0.096,0.211,0.175,-0.035,"jsa"
"London",7407046,0.092,0.041,-0.051,0.138,0.078,-0.06,0.165,0.102,-0.063,"inc"
"Manchester",2404272,0.151,0.112,-0.039,0.115,0.076,-0.04,0.163,0.15,-0.013,"inc"
"Birmingham",1570646.99,0.052,-0.007,-0.059,0.188,0.062,-0.126,0.274,0.211,-0.063,"inc"
"Slough and Heathrow",1474801,-0.019,-0.038,-0.018,0.011,0,-0.011,0.059,0.053,-0.006,"inc"
"Newcastle",956339,0.154,0.094,-0.06,0.083,0.03,-0.052,0.141,0.105,-0.036,"inc"
"Liverpool",898780,0.121,0.078,-0.043,0.083,0.029,-0.053,0.137,0.099,-0.038,"inc"
"Leicester",855917,0.296,0.228,-0.068,0.102,0.039,-0.063,0.309,0.234,-0.074,"inc"
"Sheffield",770801,0.182,0.118,-0.064,0.076,0.002,-0.075,0.142,0.094,-0.048,"inc"
"Bristol",743279,0.211,0.152,-0.058,0.063,-0.006,-0.069,0.186,0.152,-0.034,"inc"
"Nottingham",734792,0.18,0.09,-0.09,0.06,-0.008,-0.068,0.206,0.173,-0.033,"inc"
